,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
315,15,1,3,2,4,0,2,0,12,752,GTB,9,1997
316,18,0,0,0,0,0,0,0,0,752,GTB,9,1997
317,22,0,0,0,0,0,1,0,1,752,GTB,9,1997
318,33,0,0,0,0,0,0,0,0,752,GTB,9,1997
319,Total,2,41,6,12,0,4,0,65,752,GTB,9,1997
320,3,1,1,0,0,0,0,0,2,76116,GTB,9,1999
321,4,3,61,19,16,0,4,0,103,76116,GTB,9,1999
322,12,0,1,1,2,0,1,0,5,76116,GTB,9,1999
323,15,0,15,3,17,0,13,0,48,76116,GTB,9,1999
324,18,0,0,0,0,0,0,0,0,76116,GTB,9,1999
325,22,0,0,0,0,0,0,0,0,76116,GTB,9,1999
326,33,0,0,0,0,0,0,9,9,76116,GTB,9,1999
327,Total,4,78,23,35,0,18,9,167,76116,GTB,9,1999
328,3,53,58,1,11,8,0,0,131,Caatinga,GTB,7,1992
329,4,188,1205,211,213,287,55,11,2170,Caatinga,GTB,7,1992
330,12,5,14,31,16,22,27,3,118,Caatinga,GTB,7,1992
331,15,23,157,60,317,185,83,1,826,Caatinga,GTB,7,1992
332,18,2,12,2,13,9,4,0,42,Caatinga,GTB,7,1992
333,22,1,2,5,3,4,13,0,28,Caatinga,GTB,7,1992
334,33,4,1,6,0,4,3,53,71,Caatinga,GTB,7,1992
335,Total,276,1449,316,573,519,185,68,3386,Caatinga,GTB,7,1992
336,3,15,6,0,0,0,0,0,21,746,GTB,5,2013
337,4,14,48,11,6,0,0,0,79,746,GTB,5,2013
338,12,0,0,0,0,0,0,0,0,746,GTB,5,2013
339,15,0,0,4,0,0,2,0,6,746,GTB,5,2013
340,18,0,0,0,0,0,0,0,0,746,GTB,5,2013
341,22,0,1,0,0,0,1,0,2,746,GTB,5,2013
342,33,0,0,0,0,0,0,0,0,746,GTB,5,2013
343,Total,29,55,15,6,0,3,0,108,746,GTB,5,2013
344,3,2,4,0,0,0,0,0,6,767,GTB,7,1994
345,4,5,23,1,5,11,0,0,45,767,GTB,7,1994
346,12,0,0,0,0,0,0,0,0,767,GTB,7,1994
347,15,2,4,0,22,4,1,0,33,767,GTB,7,1994
348,18,0,0,0,1,0,0,0,1,767,GTB,7,1994
349,22,0,0,0,0,0,0,0,0,767,GTB,7,1994
350,33,0,0,0,0,0,0,0,0,767,GTB,7,1994
351,Total,9,31,1,28,15,1,0,85,767,GTB,7,1994
352,3,0,0,0,0,0,0,0,0,771,GTB,6,1994
353,4,1,16,10,4,0,2,0,33,771,GTB,6,1994
354,12,0,0,0,0,0,0,0,0,771,GTB,6,1994
355,15,0,1,1,9,0,1,0,12,771,GTB,6,1994
