,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
385,33,0,0,0,0,0,0,0,2,2,7615,Frequency,9,2022
386,Total,0,109,40,0,0,4,0,2,155,7615,Frequency,9,2022
387,3,0,14,0,0,0,0,0,0,14,765,Frequency,10,2016
388,4,0,86,0,0,0,0,0,0,86,765,Frequency,10,2016
389,12,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
390,15,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
391,18,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
392,22,0,1,0,0,0,3,0,1,5,765,Frequency,10,2016
393,27,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
394,33,0,1,0,0,0,0,0,1,2,765,Frequency,10,2016
395,Total,0,102,0,0,0,3,0,2,107,765,Frequency,10,2016
