,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
321,4,9,131,1,0,0,2,0,143,755,toExport,5,2011
322,12,0,0,0,0,0,3,0,3,755,toExport,5,2011
323,15,0,0,0,0,0,0,0,0,755,toExport,5,2011
324,18,0,0,0,0,0,0,0,0,755,toExport,5,2011
325,22,0,1,0,0,0,7,0,8,755,toExport,5,2011
326,33,1,1,0,0,0,0,2,4,755,toExport,5,2011
327,Total,10,136,1,0,0,12,2,161,755,toExport,5,2011
328,3,1,20,0,0,0,0,0,21,7622,toExport,9,2019
329,4,1,79,0,0,0,0,0,80,7622,toExport,9,2019
330,12,0,2,0,0,0,0,0,2,7622,toExport,9,2019
331,15,0,0,0,0,0,0,0,0,7622,toExport,9,2019
332,18,0,0,0,0,0,0,0,0,7622,toExport,9,2019
333,22,0,0,0,0,0,0,0,0,7622,toExport,9,2019
334,33,0,0,0,0,0,0,0,0,7622,toExport,9,2019
335,Total,2,101,0,0,0,0,0,103,7622,toExport,9,2019
336,3,0,4,0,0,0,0,0,4,755,toExport,5,2010
337,4,7,131,0,0,0,2,0,140,755,toExport,5,2010
338,12,0,0,0,0,0,2,0,2,755,toExport,5,2010
339,15,0,0,0,0,0,0,0,0,755,toExport,5,2010
340,18,0,0,0,0,0,0,0,0,755,toExport,5,2010
341,22,0,1,0,0,0,7,0,8,755,toExport,5,2010
342,33,1,1,0,0,0,0,2,4,755,toExport,5,2010
343,Total,8,137,0,0,0,11,2,158,755,toExport,5,2010
344,3,0,5,0,0,0,1,0,6,7619,toExport,5,2018
345,4,0,209,37,0,0,8,0,254,7619,toExport,5,2018
346,12,0,3,2,0,0,3,0,8,7619,toExport,5,2018
347,15,0,0,0,0,0,0,0,0,7619,toExport,5,2018
348,18,0,0,0,0,0,0,0,0,7619,toExport,5,2018
349,22,0,1,0,0,0,0,0,1,7619,toExport,5,2018
350,33,0,0,0,0,0,1,0,1,7619,toExport,5,2018
351,Total,0,218,39,0,0,13,0,270,7619,toExport,5,2018
352,3,12,3,0,0,0,3,0,18,751,toExport,5,2003
353,4,86,49,0,0,0,0,0,135,751,toExport,5,2003
354,12,1,3,1,0,0,0,0,5,751,toExport,5,2003
355,15,0,0,0,0,0,0,0,0,751,toExport,5,2003
356,18,0,0,0,0,0,0,0,0,751,toExport,5,2003
357,22,1,4,0,0,0,5,0,10,751,toExport,5,2003
358,33,0,1,1,0,0,1,0,3,751,toExport,5,2003
359,Total,100,60,2,0,0,9,0,171,751,toExport,5,2003
360,3,0,7,0,0,0,0,0,7,767,toExport,9,1989
361,4,0,44,0,0,0,0,0,44,767,toExport,9,1989
362,12,0,0,0,0,0,0,0,0,767,toExport,9,1989
363,15,0,0,0,0,0,0,0,0,767,toExport,9,1989
364,18,0,0,0,0,0,0,0,0,767,toExport,9,1989
365,22,0,0,0,0,0,1,0,1,767,toExport,9,1989
366,33,0,0,0,0,0,0,0,0,767,toExport,9,1989
367,Total,0,51,0,0,0,1,0,52,767,toExport,9,1989
368,3,0,14,0,0,0,0,0,14,765,toExport,9,2018
369,4,0,89,0,0,0,1,0,90,765,toExport,9,2018
370,12,0,0,0,0,0,0,0,0,765,toExport,9,2018
371,15,0,0,0,0,0,0,0,0,765,toExport,9,2018
372,18,0,0,0,0,0,0,0,0,765,toExport,9,2018
373,22,0,1,0,0,0,4,0,5,765,toExport,9,2018
374,33,0,0,0,0,0,0,2,2,765,toExport,9,2018
375,Total,0,104,0,0,0,5,2,111,765,toExport,9,2018
376,3,0,0,0,0,0,0,0,0,7617,toExport,9,1991
377,4,0,116,4,0,0,0,0,120,7617,toExport,9,1991
378,12,0,1,0,0,0,0,0,1,7617,toExport,9,1991
379,15,0,0,0,0,0,0,0,0,7617,toExport,9,1991
380,18,0,0,0,0,0,0,0,0,7617,toExport,9,1991
381,22,0,0,0,0,0,0,0,0,7617,toExport,9,1991
