,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
301,22,0,0,0,,1,,0,1,7618,RF,6,1995,0.0,0.0
302,33,0,0,0,,0,,0,0,7618,RF,6,1995,0.0,0.0
303,Total,1,59,0,,2,,1,85,7618,RF,6,1995,22.0,0.0
304,3,0,0,0,,0,,0,0,741,RF,7,2002,0.0,0.0
305,4,2,16,0,,0,,0,18,741,RF,7,2002,0.0,0.0
306,12,0,0,0,,0,,0,3,741,RF,7,2002,1.0,2.0
307,15,0,5,1,,0,,0,9,741,RF,7,2002,2.0,1.0
308,18,0,0,0,,0,,0,0,741,RF,7,2002,0.0,0.0
309,22,0,0,0,,0,,0,0,741,RF,7,2002,0.0,0.0
310,33,0,0,0,,0,,1,1,741,RF,7,2002,0.0,0.0
311,Total,2,21,1,,0,,1,31,741,RF,7,2002,3.0,3.0
312,3,33,15,0,0.0,0,0.0,0,48,7741,RF,12,2016,,
313,4,20,104,6,5.0,0,0.0,0,135,7741,RF,12,2016,,
314,12,0,6,3,1.0,0,0.0,0,10,7741,RF,12,2016,,
315,21,1,91,18,57.0,1,0.0,0,168,7741,RF,12,2016,,
316,22,0,1,0,0.0,0,0.0,0,1,7741,RF,12,2016,,
317,27,0,0,0,0.0,0,0.0,0,0,7741,RF,12,2016,,
318,33,0,0,0,0.0,0,0.0,1,1,7741,RF,12,2016,,
319,Total,54,217,27,63.0,1,0.0,1,363,7741,RF,12,2016,,
320,3,0,5,0,0.0,1,0.0,0,6,7619,RF,10,1996,,
321,4,0,218,22,29.0,7,0.0,0,276,7619,RF,10,1996,,
322,12,0,1,3,5.0,3,0.0,0,12,7619,RF,10,1996,,
323,21,0,10,4,48.0,2,0.0,0,64,7619,RF,10,1996,,
324,22,0,0,0,0.0,0,0.0,0,0,7619,RF,10,1996,,
325,27,0,0,0,0.0,0,0.0,0,0,7619,RF,10,1996,,
326,33,0,0,0,0.0,0,0.0,2,2,7619,RF,10,1996,,
327,Total,0,234,29,82.0,13,0.0,2,360,7619,RF,10,1996,,
328,3,0,1,0,1.0,0,0.0,0,2,7615,RF,10,1998,,
329,4,0,153,0,14.0,25,0.0,0,192,7615,RF,10,1998,,
330,12,0,2,0,6.0,13,0.0,0,21,7615,RF,10,1998,,
331,21,0,24,0,20.0,23,0.0,0,67,7615,RF,10,1998,,
332,22,0,1,0,1.0,2,0.0,0,4,7615,RF,10,1998,,
333,27,0,0,0,0.0,0,0.0,0,0,7615,RF,10,1998,,
334,33,0,0,0,0.0,0,0.0,2,2,7615,RF,10,1998,,
335,Total,0,181,0,42.0,63,0.0,2,288,7615,RF,10,1998,,
336,3,0,0,0,,0,,0,0,756,RF,7,2019,0.0,0.0
337,4,0,6,1,,0,,0,8,756,RF,7,2019,1.0,0.0
338,12,0,0,0,,0,,0,0,756,RF,7,2019,0.0,0.0
339,15,0,0,0,,0,,0,0,756,RF,7,2019,0.0,0.0
340,18,0,0,0,,0,,0,0,756,RF,7,2019,0.0,0.0
341,22,0,0,0,,0,,0,0,756,RF,7,2019,0.0,0.0
342,33,0,0,0,,1,,0,1,756,RF,7,2019,0.0,0.0
343,Total,0,6,1,,1,,0,9,756,RF,7,2019,1.0,0.0
344,3,0,0,0,,0,,0,0,772,RF,6,1997,0.0,0.0
345,4,2,13,0,,2,,0,20,772,RF,6,1997,3.0,0.0
346,12,0,0,0,,0,,0,0,772,RF,6,1997,0.0,0.0
347,15,0,2,0,,7,,0,18,772,RF,6,1997,9.0,0.0
348,18,0,1,0,,0,,0,1,772,RF,6,1997,0.0,0.0
349,22,0,0,0,,0,,0,0,772,RF,6,1997,0.0,0.0
350,33,0,0,0,,0,,0,0,772,RF,6,1997,0.0,0.0
351,Total,2,16,0,,9,,0,39,772,RF,6,1997,12.0,0.0
352,3,3,19,0,0.0,0,0.0,0,22,7622,RF,10,2006,,
353,4,6,68,0,4.0,0,0.0,0,78,7622,RF,10,2006,,
354,12,1,0,0,1.0,0,0.0,0,2,7622,RF,10,2006,,
355,21,0,11,0,8.0,0,0.0,0,19,7622,RF,10,2006,,
356,22,0,0,0,0.0,0,0.0,0,0,7622,RF,10,2006,,
357,27,0,0,0,0.0,0,0.0,0,0,7622,RF,10,2006,,
358,33,0,0,0,0.0,0,0.0,0,0,7622,RF,10,2006,,
359,Total,10,98,0,13.0,0,0.0,0,121,7622,RF,10,2006,,
