,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
203,Total,29,55,15,6,0,3,0,108,746,GTB,6,2013,
204,3,0,0,0,0,0,0,0,0,7618,GTB,7,1990,
205,4,4,44,11,2,1,0,0,62,7618,GTB,7,1990,
206,12,0,1,0,0,0,0,0,1,7618,GTB,7,1990,
207,15,0,2,4,8,7,0,0,21,7618,GTB,7,1990,
208,18,0,0,0,0,0,0,0,0,7618,GTB,7,1990,
209,22,0,0,0,0,0,1,0,1,7618,GTB,7,1990,
210,33,0,0,0,0,0,0,0,0,7618,GTB,7,1990,
211,Total,4,47,15,10,8,1,0,85,7618,GTB,7,1990,
212,3,5,2,0,0,0,1,0,8,753,GTB,7,1996,
213,4,12,54,0,2,6,3,1,78,753,GTB,7,1996,
214,12,0,1,0,0,0,0,1,2,753,GTB,7,1996,
215,15,1,12,0,3,7,1,1,25,753,GTB,7,1996,
216,18,2,2,0,1,1,2,0,8,753,GTB,7,1996,
217,22,0,1,0,0,0,2,0,3,753,GTB,7,1996,
218,33,0,1,0,0,0,1,3,5,753,GTB,7,1996,
219,Total,20,73,0,6,14,10,6,129,753,GTB,7,1996,
220,3,2,9,0,2,0,0,0,13,766,GTB,10,2012,0.0
221,4,2,84,0,19,0,0,0,105,766,GTB,10,2012,0.0
222,12,0,3,0,3,0,0,0,6,766,GTB,10,2012,0.0
223,15,0,19,0,110,0,6,0,135,766,GTB,10,2012,0.0
224,18,2,1,0,1,0,0,0,4,766,GTB,10,2012,0.0
225,22,0,1,0,0,0,1,0,2,766,GTB,10,2012,0.0
226,27,0,0,0,0,0,0,0,0,766,GTB,10,2012,0.0
227,33,0,0,0,0,0,0,2,2,766,GTB,10,2012,0.0
228,Total,6,117,0,135,0,7,2,267,766,GTB,10,2012,0.0
229,3,0,0,0,0,0,0,0,0,7617,GTB,10,2016,0.0
230,4,0,118,6,9,15,2,0,150,7617,GTB,10,2016,0.0
231,12,0,0,0,6,1,0,1,8,7617,GTB,10,2016,0.0
232,15,0,7,1,9,5,2,0,24,7617,GTB,10,2016,0.0
233,18,0,3,1,1,1,0,0,6,7617,GTB,10,2016,0.0
234,22,0,0,0,0,0,2,1,3,7617,GTB,10,2016,0.0
235,27,0,0,0,0,0,0,0,0,7617,GTB,10,2016,0.0
236,33,0,0,1,3,2,0,25,31,7617,GTB,10,2016,0.0
237,Total,0,128,9,28,24,6,27,222,7617,GTB,10,2016,0.0
238,3,2,1,0,1,0,0,0,4,766,GTB,6,1991,
239,4,11,10,0,7,0,0,0,28,766,GTB,6,1991,
240,12,0,0,0,0,0,0,0,0,766,GTB,6,1991,
241,15,1,1,0,27,0,1,0,30,766,GTB,6,1991,
242,18,0,0,0,0,0,0,0,0,766,GTB,6,1991,
243,22,0,0,0,0,0,1,0,1,766,GTB,6,1991,
244,33,0,0,0,0,0,0,0,0,766,GTB,6,1991,
245,Total,14,12,0,35,0,2,0,63,766,GTB,6,1991,
246,3,114,210,5,10,6,9,1,357,Caatinga,GTB,9,2013,2.0
247,4,273,3837,420,416,109,162,6,5228,Caatinga,GTB,9,2013,5.0
248,12,4,63,29,50,9,61,1,220,Caatinga,GTB,9,2013,3.0
249,15,41,941,157,1494,190,349,6,3202,Caatinga,GTB,9,2013,24.0
250,18,19,72,13,47,19,22,0,194,Caatinga,GTB,9,2013,2.0
251,22,3,32,10,20,4,48,1,128,Caatinga,GTB,9,2013,10.0
252,27,2,1,0,1,0,1,0,5,Caatinga,GTB,9,2013,0.0
253,33,6,12,6,10,1,10,88,134,Caatinga,GTB,9,2013,1.0
254,Total,462,5168,640,2048,338,662,103,9468,Caatinga,GTB,9,2013,47.0
255,3,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
256,4,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
257,12,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
258,15,0,2,0,3,0,0,0,5,7742,GTB,6,1992,
259,18,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
260,22,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
261,33,0,0,0,0,0,0,0,0,7742,GTB,6,1992,
262,Total,0,2,0,3,0,0,0,5,7742,GTB,6,1992,
263,3,2,0,0,0,0,0,0,2,7615,GTB,5,2009,0.0
