,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
251,15,0,17,3,34,0,8,1,63,76111,RF,5,2022
252,18,0,1,0,2,0,0,0,3,76111,RF,5,2022
253,22,0,0,0,0,0,1,0,1,76111,RF,5,2022
254,33,0,0,0,0,0,0,3,3,76111,RF,5,2022
255,Total,1,29,3,41,0,9,4,87,76111,RF,5,2022
256,3,0,0,0,0,0,0,0,0,7618,RF,6,2012
257,4,1,46,7,3,0,1,0,58,7618,RF,6,2012
258,12,0,1,0,0,0,0,0,1,7618,RF,6,2012
259,15,0,2,1,22,0,0,0,25,7618,RF,6,2012
260,18,0,0,0,0,0,0,0,0,7618,RF,6,2012
261,22,0,0,0,0,0,1,0,1,7618,RF,6,2012
262,33,0,0,0,0,0,0,0,0,7618,RF,6,2012
263,Total,1,49,8,25,0,2,0,85,7618,RF,6,2012
264,3,3,3,0,0,0,0,0,6,776,RF,5,1996
265,4,6,47,5,22,0,1,0,81,776,RF,5,1996
266,12,0,1,4,0,0,4,0,9,776,RF,5,1996
267,15,1,4,1,42,0,22,0,70,776,RF,5,1996
268,18,0,0,0,0,0,0,0,0,776,RF,5,1996
269,22,0,0,0,0,0,2,0,2,776,RF,5,1996
270,33,0,0,0,0,0,0,0,0,776,RF,5,1996
271,Total,10,55,10,64,0,29,0,168,776,RF,5,1996
272,3,0,0,0,0,0,0,0,0,7742,RF,6,1987
273,4,0,0,0,0,0,0,0,0,7742,RF,6,1987
274,12,0,0,0,0,0,0,0,0,7742,RF,6,1987
275,15,0,0,0,3,0,2,0,5,7742,RF,6,1987
276,18,0,0,0,0,0,0,0,0,7742,RF,6,1987
277,22,0,0,0,0,0,0,0,0,7742,RF,6,1987
278,33,0,0,0,0,0,0,0,0,7742,RF,6,1987
279,Total,0,0,0,3,0,2,0,5,7742,RF,6,1987
280,3,0,6,0,0,0,0,0,6,7622,RF,7,2001
281,4,0,21,0,1,0,0,0,22,7622,RF,7,2001
282,12,0,1,0,0,0,0,0,1,7622,RF,7,2001
283,15,0,2,1,5,0,0,0,8,7622,RF,7,2001
284,18,0,0,0,0,0,0,0,0,7622,RF,7,2001
285,22,0,0,0,0,0,0,0,0,7622,RF,7,2001
286,33,0,0,0,0,0,0,0,0,7622,RF,7,2001
287,Total,0,30,1,6,0,0,0,37,7622,RF,7,2001
288,3,5,9,0,0,0,0,0,14,763,RF,6,2019
289,4,14,88,3,15,0,0,0,120,763,RF,6,2019
290,12,0,2,5,2,0,0,0,9,763,RF,6,2019
291,15,0,17,3,70,0,14,0,104,763,RF,6,2019
292,18,0,0,0,0,0,0,0,0,763,RF,6,2019
293,22,1,0,0,0,0,1,0,2,763,RF,6,2019
294,33,0,0,0,0,0,0,1,1,763,RF,6,2019
295,Total,20,116,11,87,0,15,1,250,763,RF,6,2019
296,3,2,2,0,2,0,0,0,6,767,RF,7,1994
297,4,7,16,3,17,2,0,0,45,767,RF,7,1994
298,12,0,0,0,0,0,0,0,0,767,RF,7,1994
299,15,2,5,0,25,0,1,0,33,767,RF,7,1994
300,18,0,0,0,1,0,0,0,1,767,RF,7,1994
301,22,0,0,0,0,0,0,0,0,767,RF,7,1994
302,33,0,0,0,0,0,0,0,0,767,RF,7,1994
303,Total,11,23,3,45,2,1,0,85,767,RF,7,1994
304,3,17,5,0,0,0,0,0,22,746,RF,6,1993
305,4,19,54,3,1,0,0,0,77,746,RF,6,1993
306,12,0,0,0,0,0,0,0,0,746,RF,6,1993
307,15,0,4,1,2,0,0,0,7,746,RF,6,1993
308,18,0,0,0,0,0,0,0,0,746,RF,6,1993
309,22,0,0,1,0,0,1,0,2,746,RF,6,1993
310,33,0,0,0,0,0,0,0,0,746,RF,6,1993
311,Total,36,63,5,3,0,1,0,108,746,RF,6,1993
312,3,2,3,0,0,0,0,0,5,776,RF,5,2011
313,4,2,50,9,11,0,1,0,73,776,RF,5,2011
314,12,0,0,6,2,0,1,0,9,776,RF,5,2011
315,15,0,9,1,42,0,25,0,77,776,RF,5,2011
316,18,0,0,0,2,0,0,0,2,776,RF,5,2011
317,22,0,0,0,2,0,0,0,2,776,RF,5,2011
