,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
1092,18661.579776739716,29,1988,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1093,6242.817623311407,33,1988,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1094,132246.10797002324,3,1989,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1095,1539218.122405656,4,1989,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1096,10930.851946551382,12,1989,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1097,1777538.2616991228,21,1989,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1098,5699.947591864384,22,1989,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1099,17032.827605972252,29,1989,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1100,6021.7837814057175,33,1989,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1101,131405.42323048212,3,1990,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1102,1504626.686118327,4,1990,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1103,12007.70879915946,12,1990,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1104,1808291.1366782545,21,1990,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1105,5680.392720805294,22,1990,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1106,19207.813962017168,29,1990,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1107,7468.741491524651,33,1990,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1108,130483.323932567,3,1991,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1109,1434446.0735421104,4,1991,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1110,10462.952285783498,12,1991,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1111,1874934.0627586336,21,1991,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1112,8842.504808549715,22,1991,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1113,22106.444084428316,29,1991,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1114,7412.541588442735,33,1991,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1115,125780.69127027204,3,1992,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1116,1328924.110915785,4,1992,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1117,8196.548308074034,12,1992,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1118,1985567.325550512,21,1992,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1119,11274.901763652271,22,1992,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1120,21161.846666269008,29,1992,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1121,7782.478525899952,33,1992,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1122,121653.30589244684,3,1993,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1123,1272029.3793503076,4,1993,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1124,6281.962301477234,12,1993,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1125,2043909.224579651,21,1993,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1126,13684.800477814386,22,1993,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1127,22727.029954645677,29,1993,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1128,8402.200444087432,33,1993,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1129,120529.28791330406,3,1994,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1130,1249415.232745839,4,1994,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1131,4185.812238412483,12,1994,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1132,2070978.2581871485,21,1994,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1133,14037.237584895776,22,1994,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1134,22322.9283971296,29,1994,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
